Machine_age,Operator_shift,Previous_downtime,Number_of_breakdowns,Task_complexity,Material_quality,Part_rejection_rate,Equipment_usage_rate,Safety_incidents,Line_speed,Downtime_minutes
7,1,39.709007319343094,1,0,0.8588600845067372,0.02146672645258861,0.7069630290262945,1,11.59340005659135,70.84892728265108
15,2,23.82553387540902,1,1,0.7806584634937019,0.06753365948632266,0.6350292330507779,0,87.55964558104192,87.33884681883191
11,1,10.878968389151396,5,1,0.7063110707381406,0.01676286578598279,0.6034185553083042,0,25.68508106512246,107.86628804524842
8,1,33.96838665848805,3,0,0.9168517611700637,0.022078218369371523,0.8270115388293802,1,65.96937675013541,78.83353661285658
7,0,45.14517562589582,3,0,0.7097459790070495,0.06802810539310836,0.7081085155161573,0,12.247381039071808,92.00292331353486
19,2,37.73083189177527,1,2,0.8785830523312164,0.04056945584332985,0.589829644514956,2,45.955582773450786,152.87553742496368
11,2,23.966764347782878,2,2,0.8617581382381942,0.07371530440310702,0.8445545407434121,0,98.73642719038148,67.30819034773258
11,1,14.131882844049109,7,1,0.9906444071733413,0.06016822702031279,0.7825361415183468,1,19.06242409934228,134.9140936838221
4,2,28.657318966424896,2,2,0.8452639418042924,0.03304190557553618,0.9293360274647481,0,48.13238367996781,39.11711057991862
8,0,28.4077612190329,2,2,0.7190804309133392,0.06857451554403954,0.5587379494382465,0,37.643495517095694,75.70017999633988
3,0,20.30800389686234,3,1,0.8655063903419384,0.02046463122635926,0.892833300972228,1,91.45793110494378,36.6681100756528
2,0,35.51037302242538,0,1,0.9523288511848305,0.058276934477202745,0.8367583934086296,1,88.24060971166196,9.059496681822885
12,2,48.46626500830473,2,1,0.999054785284432,0.04934332945405313,0.5575054684140489,1,31.392888427560596,115.23612974939073
6,2,32.22282717458284,2,1,0.8291029521067217,0.03410862245356967,0.8474103649358604,1,17.306900834538805,83.99690315808657
2,2,31.604762069988457,2,0,0.7960896227490227,0.06436044979655502,0.7207736444399152,1,66.44245546550057,41.22564435163722
1,2,20.627719511661773,1,1,0.9719959890855997,0.08842002331062543,0.9724923927779215,4,40.27318406953388,86.85101796899791
12,2,43.97414703060372,2,1,0.7573726387228363,0.09990142297867691,0.5708056753089497,0,70.48759515454567,123.99001179302596
12,0,29.248558331899833,1,1,0.8846286745098779,0.06469864918690821,0.821416695407869,1,12.890778046103303,121.31815383778843
17,1,24.210367448058292,2,2,0.8217143272542843,0.04642352868962532,0.6909900227314729,1,22.005931165974047,153.99140887296804
10,0,30.63688393651616,2,1,0.7123247094866666,0.03026863901945815,0.9784073352954389,4,71.7735009495379,136.9430526136996
16,2,34.71961333246609,5,0,0.8041865422917093,0.03313864804556006,0.6649874476451383,0,29.1133589772248,135.09470082845894
15,0,31.392154086449032,2,0,0.7795685567508024,0.05315094803347892,0.9810929547459001,0,87.18289081861614,67.18619381962569
15,2,42.061533956705915,2,1,0.9058273461830461,0.04305499311526384,0.9507429255503745,0,15.27317989391219,121.04432940686291
19,2,33.83971552546862,1,0,0.9846371493075754,0.09224330703624499,0.6351916176553282,3,29.393378450701714,185.5575958907425
12,0,27.16058189117465,1,2,0.7804141562135913,0.04314659208901386,0.9017708884132138,0,99.87042236365617,50.55653884312339
3,2,34.0119221632689,0,1,0.9434397817455045,0.0436100132030892,0.997802100901753,0,48.97684923281134,16.043175104738364
5,1,34.996371011259576,0,0,0.7166079450815228,0.04451810611905793,0.6263315010856412,0,73.26690971901792,14.63579427816683
19,2,17.03624080736158,2,0,0.861436303011944,0.08529581893308923,0.7183885846616598,0,26.43967439713123,124.60064653384963
7,1,41.494197282637145,4,1,0.7211650191129684,0.06857094887622117,0.7600903682833798,1,64.8881861486984,108.80700982795807
9,1,26.990959806386407,2,0,0.9802098973391917,0.06527519652870034,0.6474655679019321,0,75.34954615324766,53.05807087777742
7,2,27.2467677649457,5,1,0.929905384167217,0.0400728720145476,0.5076324198230149,0,38.30289722798595,85.8416860373778
18,0,37.51375987075946,1,0,0.8973849733613777,0.08361137591491956,0.6100646220987633,1,84.600740077829,113.22229447537663
4,1,37.471652242595816,1,2,0.9471689144873993,0.013452747522013102,0.6409684421708792,1,64.3075820625055,42.30651417734399
